rank,name,score,temperature,address,phone,website,rating,reviews,price_level,google_maps_url,types,city,category
1,KTC FOOD,94,HOT,"125 Av. 2 Mars, Casablanca 20600, Maroc",06 70 74 56 48,,4.5,394,,https://maps.google.com/?cid=12690598357826996057,"establishment, food, point_of_interest, restaurant","Rabat, Casablanca, kénitra","restaurant, transport"
2,Casablanca Shore - Transport,93,HOT,"G9C4+HMJ, Casablanca, Maroc",06 75 49 43 87,,3.6,156,,https://maps.google.com/?cid=10811052228481820889,"establishment, food, point_of_interest, restaurant","Rabat, Casablanca, kénitra","restaurant, transport"
3,Gare CASA PORT,84,HOT,"Bd Zayid Ou Hmad, Casablanca 20250, Maroc",05 37 27 58 00,https://www.oncf-voyages.ma/,4.3,2807,,https://maps.google.com/?cid=17199090472669826743,"establishment, point_of_interest","Rabat, Casablanca, kénitra","restaurant, transport"
4,R-MENTH,78,WARM,"H99J+PGW, Bd Anoual, Casablanca 20250, Maroc",06 91 55 72 62,,4.6,9,,https://maps.google.com/?cid=9354492267541920243,"establishment, food, point_of_interest, restaurant","Rabat, Casablanca, kénitra","restaurant, transport"
5,Atlas Rider,77,WARM,"Rue Abou Al Mahassine Royani، Bd Al Massira Al Khadra, Dar-el-Beida 20250, Maroc",06 00 09 36 30,,4.3,19,,https://maps.google.com/?cid=12177760134147695491,"establishment, point_of_interest","Rabat, Casablanca, kénitra","restaurant, transport"
6,مطعم ومآكولات والمسمن,76,WARM,"Rue Sidi Maâti Ben Es Salah, Casablanca 20250, Maroc",06 28 83 02 06,,4.3,3,,https://maps.google.com/?cid=17744552803210992212,"establishment, food, point_of_interest, restaurant","Rabat, Casablanca, kénitra","restaurant, transport"
7,LUXE-BITES,75,WARM,"379 avenue ambassadeur ben Aïcha, Casablanca 20290, Maroc",07 20 84 17 62,,4.7,3,,https://maps.google.com/?cid=16762941895472799844,"establishment, food, point_of_interest, restaurant","Rabat, Casablanca, kénitra","restaurant, transport"
8,Locabus,69,WARM,"36 Bd d'Anfa, Casablanca 20250, Maroc",05 22 26 06 90,http://www.locabus.ma/,4.7,42,,https://maps.google.com/?cid=13506845622704034398,"establishment, moving_company, point_of_interest","Rabat, Casablanca, kénitra","restaurant, transport"
9,VEAT,68,WARM,"61 AV LALLA YACOUT, Etg 2 N 69, ANGLE Rue Mostafa El Maani, Casablanca 20000, Maroc",06 63 48 08 46,,3.8,4,,https://maps.google.com/?cid=9518918244805180811,"establishment, point_of_interest","Rabat, Casablanca, kénitra","restaurant, transport"
10,Resto'mov,66,WARM,"Km 5, zone industriel Ouled Azouz, Casablanca 20490, Maroc",06 39 29 03 91,https://www.restomov.com/,5,6,,https://maps.google.com/?cid=16423158066345515494,"establishment, food, point_of_interest, restaurant, store","Rabat, Casablanca, kénitra","restaurant, transport"
11,Bar Le Transport,63,COLD,"H9RX+56R, Lieutenant Mohamed Errachak, Casablanca 20250, Maroc",,,1.8,4,,https://maps.google.com/?cid=6924987775546261995,"bar, establishment, point_of_interest","Rabat, Casablanca, kénitra","restaurant, transport"
12,Restaurail,56,COLD,"Gare de Casa Voyageurs, Bd Ba Hmad, Casablanca 20250, Maroc",05 22 24 20 72,http://www.restaurail.ma/,3.2,30,,https://maps.google.com/?cid=12698457986661988642,"establishment, food, point_of_interest, restaurant","Rabat, Casablanca, kénitra","restaurant, transport"
