rank,name,score,temperature,address,phone,website,rating,reviews,price_level,google_maps_url,types,city,category
1,Mariinsky Food,95,HOT,"Casablanca 20250, Maroc",05 20 98 08 84,,4.1,134,2,https://maps.google.com/?cid=12648977424760040854,"cafe, establishment, food, meal_delivery, meal_takeaway, point_of_interest, restaurant, store","Rabat, kénitra","restaurant, transport"
2,Pullman Du Sud Agence De RABAT,84,HOT,"X4VM+X6M, Av. Annour, Rabat, Maroc",05 37 69 95 81,,3.2,60,,https://maps.google.com/?cid=4048998442904994413,"establishment, point_of_interest","Rabat, kénitra","restaurant, transport"
3,Gare CASA PORT,83,HOT,"Bd Zayid Ou Hmad, Casablanca 20250, Maroc",05 37 27 58 00,https://www.oncf-voyages.ma/,4.3,2807,,https://maps.google.com/?cid=17199090472669826743,"establishment, point_of_interest","Rabat, kénitra","restaurant, transport"
4,Gare RABAT AGDAL,83,HOT,"RUE ABDERRAHMANE EL GHAFIKI, Rabat 10000, Maroc",05 37 27 58 00,https://www.oncf-voyages.ma/,4.5,1923,,https://maps.google.com/?cid=7505849077588341448,"establishment, point_of_interest","Rabat, kénitra","restaurant, transport"
5,Tangerino,83,HOT,"KM 3, 5 Av. Mohammed VI, Rabat 10190, Maroc",05 37 75 08 08,https://tangerino-rabat.com/,4.3,472,,https://maps.google.com/?cid=14389014243378791976,"establishment, food, point_of_interest, restaurant","Rabat, kénitra","restaurant, transport"
6,Café Restaurant KOFFEE KUENTO Palmiers,83,HOT,"Intersection Rue Mortada, Rue de Bethléem, Casablanca 20250, Maroc",05 22 98 30 39,https://glovoapp.com/ma/fr/casablanca/koffee-kuento-cas/,4.8,95,,https://maps.google.com/?cid=10217179455288599950,"cafe, establishment, food, point_of_interest, restaurant, store","Rabat, kénitra","restaurant, transport"
7,Dar Mayshad,83,HOT,"3 Imp. Haj Ahmed Bacha, Rabat, Maroc",07 67 77 72 72,http://www.mayshadhospitality.com/,4.4,114,,https://maps.google.com/?cid=10535734587807426965,"establishment, food, point_of_interest, restaurant","Rabat, kénitra","restaurant, transport"
8,AÉROPORT ET INTER-VILLES,83,HOT,"230, Lotissement Al-moustakbal. GH26 n°4 Boulevard 60 Casablanca، Dar-el-Beida 20190, Maroc",06 60 75 74 72,,5,34,,https://maps.google.com/?cid=3751684266203602417,"airport, establishment, point_of_interest","Rabat, kénitra","restaurant, transport"
9,Tajine Wa Tanjia,82,HOT,"2587+637، Rue de Baghdad، Rabat, Maroc",05 37 72 97 97,https://www.facebook.com/tajinewatanjia.contact/,3.9,473,2,https://maps.google.com/?cid=10524334138672243792,"establishment, food, point_of_interest, restaurant","Rabat, kénitra","restaurant, transport"
10,Station Tramway Oasis,81,HOT,"H939+XJF, Casablanca, Maroc",,http://www.casatramway.ma/,4,92,,https://maps.google.com/?cid=12312266163130623945,"establishment, point_of_interest","Rabat, kénitra","restaurant, transport"
11,Gare CASA OASIS,81,HOT,"Rte de l'Oasis, Casablanca 20410, Maroc",05 37 27 58 00,https://www.oncf-voyages.ma/,3.5,2535,,https://maps.google.com/?cid=18201954678694809285,"establishment, point_of_interest","Rabat, kénitra","restaurant, transport"
12,Service De Transport Avec Chauffeur Privé,78,WARM,"X496+GP8, Rabat, Maroc",,,5,1,,https://maps.google.com/?cid=6205466604323036362,"establishment, point_of_interest","Rabat, kénitra","restaurant, transport"
13,LCF | La Cantine Family,77,WARM,"22 Rue des Asphodeles, Casablanca 20500, Maroc",05 22 94 29 29,https://bit.ly/lcfapp,3.9,394,2,https://maps.google.com/?cid=13929497990494845857,"establishment, food, meal_takeaway, point_of_interest, restaurant","Rabat, kénitra","restaurant, transport"
14,Livreur fiable,75,WARM,"26cp+8px, Av.Aryad, Rabat 11110, Maroc",06 57 76 57 94,,5,5,,https://maps.google.com/?cid=11506788981404530848,"establishment, food, health, meal_delivery, point_of_interest, restaurant","Rabat, kénitra","restaurant, transport"
15,FedEx Express : Transport & Courrier Express International,75,WARM,"Ibn Ziyad Hassan, 23 Av. Tariq Ibn Ziyad, Rabat 10010, Maroc",05 22 45 80 59,http://www.fedex.com/ma,3.4,116,2,https://maps.google.com/?cid=10308907534675444253,"establishment, point_of_interest","Rabat, kénitra","restaurant, transport"
16,Livraison à rabat,73,WARM,"X5W2+5XC, Av. Fal Ould Oumeir, Rabat, Maroc",07 07 48 80 54,,5,1,,https://maps.google.com/?cid=8377135112527526972,"establishment, point_of_interest","Rabat, kénitra","restaurant, transport"
17,Le Dhow : Restaurant Lounge Club,73,WARM,"Quai de Bouregreg, Av. Al Marsa, Rabat 10000, Maroc",06 19 32 59 69,http://www.ledhow.com/,3.9,4697,3,https://maps.google.com/?cid=7741795500722194340,"bar, cafe, establishment, food, night_club, point_of_interest, restaurant, store","Rabat, kénitra","restaurant, transport"
18,Private Taxi Rabat,70,WARM,"Dyar manssor p 24 immeuble 2 appartement 8 cym, Rabat 10100, Maroc",06 61 87 69 55,http://privatetaxirabat.com/,4.7,42,,https://maps.google.com/?cid=295886125147705033,"establishment, point_of_interest","Rabat, kénitra","restaurant, transport"
19,taxi aeroport rabat,69,WARM,"Rabat Sale Airport, Rabat 11025, Maroc",06 22 27 13 41,http://www.sotrandiv.ma/,5,46,,https://maps.google.com/?cid=15783339765495323123,"establishment, point_of_interest","Rabat, kénitra","restaurant, transport"
20,Bar Le Transport,64,COLD,"H9RX+56R, Lieutenant Mohamed Errachak, Casablanca 20250, Maroc",,,1.8,4,,https://maps.google.com/?cid=6924987775546261995,"bar, establishment, point_of_interest","Rabat, kénitra","restaurant, transport"
