rank,name,score,temperature,address,phone,website,rating,reviews,price_level,google_maps_url,types,city,category
1,SDTM : Transport de Marchandises & Messageries_Kénitra,84,HOT,"7C59+QPP, Av. Hassan II, Kénitra, Maroc",05 37 36 55 56,,3.2,77,,https://maps.google.com/?cid=12286617988002636440,"establishment, point_of_interest",kénitra,Transport
2,CAVALO TRANS - Transport Touristique et du Personnel.,82,HOT,"6FR7+R6Q, Kenitra 14000, Maroc",05 37 39 05 02,,4.8,41,,https://maps.google.com/?cid=10077346265255888840,"establishment, point_of_interest",kénitra,Transport
3,Agence BigBoy : Transport Touristique & Logistique International.,81,HOT,"232 Av. Mohamed V, Kénitra 14000, Maroc",06 50 99 96 75,https://agencebigboy.wixsite.com/website,4.3,83,,https://maps.google.com/?cid=9203540586904701109,"establishment, moving_company, point_of_interest, travel_agency",kénitra,Transport
4,Triporteur Kénitra,78,WARM,"19 Rue N 22, Kénitra, Maroc",06 69 97 02 83,,5,1,,https://maps.google.com/?cid=17438512234897441330,"establishment, point_of_interest",kénitra,Transport
5,Agence De Transport Voyageurs Médina (Agence Médina),77,WARM,"7C7G+7C5, Av. Mohamed V, Kénitra 14000, Maroc",05 37 36 33 70,,4.5,2,,https://maps.google.com/?cid=12372111098189988992,"establishment, point_of_interest, travel_agency",kénitra,Transport
6,Gare de kenitra,75,WARM,"7C29+X7V, Ave des FAR, Kenitra, Maroc",,,5,2,,https://maps.google.com/?cid=17936252580954319223,"establishment, point_of_interest",kénitra,Transport
7,SHT TRANS,75,WARM,"Angle Mohmed el qorri m82 résidence khadija apprt N4 Mimouza, Kénitra, Maroc",06 61 95 73 13,,5,2,,https://maps.google.com/?cid=2341794724762528370,"establishment, point_of_interest",kénitra,Transport
8,Transport Amana Maroc Allemagne,74,WARM,"Im, 7C68+M3R boutique 5, 59 Avenue istiklal, Kénitra, Maroc",06 22 59 30 20,,4.5,16,,https://maps.google.com/?cid=5752924509389936638,"establishment, point_of_interest",kénitra,Transport
9,Ghazala : Transport de Marchandises & Messageries_Kénitra Maamora,74,WARM,"7C55+6CW, Av. Moulay Abdelazziz, Kénitra, Maroc",05 37 37 89 44,https://transghazala.ma/,3.2,129,,https://maps.google.com/?cid=2661991691678487755,"establishment, point_of_interest",kénitra,Transport
10,Sotraforest,73,WARM,"185 Zone Industriel Quartier Industriel Municipal, Kenitra, Kénitra 14000, Maroc",05 37 37 38 49,,4.1,11,,https://maps.google.com/?cid=8147466949373345366,"establishment, moving_company, point_of_interest",kénitra,Transport
11,B Golden way,73,WARM,"Bureau N°1 sis kenitra angle rue Mbarek doukkali Rue ghandi rue chellah Immeuble C résidence MERYEM, Kènitra 14054, Maroc",05 30 17 17 92,,5,3,,https://maps.google.com/?cid=15689099659042564774,"establishment, point_of_interest",kénitra,Transport
12,Oudanitrans TRANSPORT SCOLAIRE & PERSONNEL,71,WARM,"30 Rue de Sebta, Kénitra, Maroc",06 44 60 52 41,,3.5,6,,https://maps.google.com/?cid=11407576561374204891,"establishment, point_of_interest",kénitra,Transport
13,Agence Zakaria,71,WARM,"7C7G+GF5, Rue Hammam Alou, Kénitra, Maroc",05 37 37 62 78,,3.6,9,,https://maps.google.com/?cid=3131786079440168511,"establishment, point_of_interest",kénitra,Transport
14,Foughal Bus Kénitra,70,WARM,"Mimouza, Rue Haroun Errachid, Kénitra, Maroc",05 37 37 16 77,http://foughalbuskenitra.ma/,3.4,94,,https://maps.google.com/?cid=13624452055181235698,"establishment, point_of_interest",kénitra,Transport
15,SNTL : Société Nationale des Transports et de la logistique,68,WARM,"App 4 bwureau plateau,14, en face garage Bridgestone, Résidence yasmina, ibn zyad maamoura, Av. Tariq Ibn Ziad, Kénitra, Maroc",05 37 32 02 04,,2.8,8,,https://maps.google.com/?cid=10160409966288607965,"establishment, point_of_interest",kénitra,Transport
16,Transport Du Personnel BELBAZ,67,WARM,"LOT 364, Kénitra, Maroc",06 62 16 80 15,https://tp-belbaz.com/,4.9,50,,https://maps.google.com/?cid=17025631833786720190,"establishment, point_of_interest",kénitra,Transport
17,Hicham Messagerie & Transport Touristique International,65,WARM,"MED 5 226 AG R-DE LA MOSQUE BTQ, Kenitra 14070, Maroc",06 80 18 95 84,https://www.facebook.com/messagerie.buse,4.4,30,,https://maps.google.com/?cid=12041435405980903608,"establishment, point_of_interest",kénitra,Transport
18,safo tours -transport du personnel -location de voitures,65,WARM,"IMM B ILOT M ET N L, MGS 17, TSS MAAMORA MASSIRA PARC, Kénitra 14000, Maroc",06 61 04 05 25,http://www.safo.ma/,5,4,,https://maps.google.com/?cid=13567006648088885405,"establishment, point_of_interest",kénitra,Transport
19,MTT KÉNITRA,63,COLD,"7CCR+G72, Kénitra, Maroc",05 37 37 37 53,,2.9,8,,https://maps.google.com/?cid=11370866381905565314,"establishment, point_of_interest",kénitra,Transport
20,Livraison Kénitra polyvalent,62,COLD,"Kénitra, Maroc",06 00 45 62 58,https://www.instagram.com/livrison59kenitra?igsh=MWhzY21vd3RoNDlieg==,4.4,5,,https://maps.google.com/?cid=4043694476174320239,"establishment, point_of_interest",kénitra,Transport
