rank,name,score,temperature,address,phone,website,rating,reviews,price_level,google_maps_url,types,city,category
1,Ultimate Fight Academy,93,HOT,"Av. Mohamed El Qori, Kénitra, Maroc",06 58 26 74 14,,4.6,91,,https://maps.google.com/?cid=6491429473223246735,"establishment, gym, health, point_of_interest",kénitra,"education, sport"
2,Vita Sport,92,HOT,"N° 21, BLOC H, Kenitra, Maroc",05 37 35 60 63,,4.4,54,,https://maps.google.com/?cid=1658088883943179549,"establishment, gym, health, point_of_interest",kénitra,"education, sport"
3,Jimmy's Fitness center,85,HOT,"Résidence « Royale », 38 Av. Hassan II, Kénitra 14000, Maroc",05 39 34 86 24,https://jimmysfitness.ma/?gad_source=1&gclid=Cj0KCQiAo5u6BhDJARIsAAVoDWvUOlJUZ-CaER5eQi48SYlhpjFfAbwU79IwMvE3iVOMGEZVzH2lRgMaAktPEALw_wcB,4.6,1108,,https://maps.google.com/?cid=15646569112464213522,"establishment, gym, health, point_of_interest",kénitra,"education, sport"
4,m Wellness Centers - Kénitra,83,HOT,"Quartier de la Gare, 33 Rue Idriss Al Akbar, Kénitra 14000, Maroc",05 37 30 75 20,http://www.mwellnesscenters.com/,4.2,199,,https://maps.google.com/?cid=14090350961914199327,"establishment, health, point_of_interest",kénitra,"education, sport"
5,Cobra Fighting Academy,82,HOT,"799Q+6HC, Kénitra, Maroc",06 11 97 81 53,,4.8,49,,https://maps.google.com/?cid=6282989345398348275,"establishment, gym, health, point_of_interest",kénitra,"education, sport"
6,Planet Gym : Sport And Fitness Center,81,HOT,"Av. Abou Bakr Seddik, Kénitra, Maroc",06 57 90 47 17,,2.9,58,,https://maps.google.com/?cid=5846216547685884538,"establishment, gym, health, point_of_interest",kénitra,"education, sport"
7,GATE TO GREATNESS,80,HOT,"Mosquée chaabi, 6 eme etage , bureau 27, City tower, Kénitra 14000, Maroc",06 93 39 85 43,,5,34,,https://maps.google.com/?cid=7131186095318920188,"establishment, health, point_of_interest",kénitra,"education, sport"
8,CMK : Centre Multisport Kénitra,80,HOT,"796Q+WC3, Kénitra, Maroc",,,4.3,38,,https://maps.google.com/?cid=18262731951749147761,"establishment, point_of_interest",kénitra,"education, sport"
9,Académie Chippo de Football Privée,78,WARM,"7992+3X5, P4266, Kénitra, Maroc",,,4.3,22,,https://maps.google.com/?cid=4054614968329915647,"establishment, point_of_interest",kénitra,"education, sport"
10,"Association fitness club (Fitness, Aerobic & Kickboxing)",76,WARM,"14 Rue Haroun Errachid, Kénitra, Maroc",06 65 12 29 72,,4,3,,https://maps.google.com/?cid=17588463709701192159,"establishment, gym, health, point_of_interest",kénitra,"education, sport"
11,"Kénitra Ahletic Club, en abrégé KAC, fondé le 5 décembre 1938",75,WARM,"7C3H+39F, Kénitra, Maroc",,,4.2,27,,https://maps.google.com/?cid=2661579145560001393,"establishment, point_of_interest",kénitra,"education, sport"
12,Keep Form,75,WARM,"Mag 10 Angle Rue Bayrouth Et, Imm 8, Rue Ibn Zabaa, Kénitra 14000, Maroc",06 14 00 10 15,,4.8,22,,https://maps.google.com/?cid=11442735719885494845,"establishment, gym, health, point_of_interest",kénitra,"education, sport"
13,Association Belle Vue De Sport,73,WARM,"79CW+PRR Belle Vue II, Kénitra 14000, Maroc",,,5,1,,https://maps.google.com/?cid=15141952469712778618,"establishment, gym, health, point_of_interest, school",kénitra,"education, sport"
14,UNIVERS JUDO CLUB KENITRA,73,WARM,"Allah mimousa, résidence fath, 24-26 rue masr, Kénitra 14000, Maroc",06 66 75 99 44,,5,9,,https://maps.google.com/?cid=12746988616930208423,"establishment, health, point_of_interest",kénitra,"education, sport"
15,بوزيكر,73,WARM,رقم 103، حي ازهارون 1، القنيطرة، Maroc,06 68 01 75 77,,5,1,,https://maps.google.com/?cid=11360718485839749724,"establishment, health, point_of_interest",kénitra,"education, sport"
16,Centre Chippo : Sports & Loisirs,67,WARM,"Kénitra 14000, Maroc",06 08 88 88 02,https://www.facebook.com/share/1EoXnJxybM/,4.4,40,,https://maps.google.com/?cid=8426761018864910827,"establishment, point_of_interest",kénitra,"education, sport"
17,Reform Studio,67,WARM,"12 Rue Ahmed Chaouki, Kénitra, Maroc",07 09 04 41 05,https://studiobookingonline.com/reformstudio/classes.html,5,13,,https://maps.google.com/?cid=7305346076057114331,"establishment, gym, health, point_of_interest",kénitra,"education, sport"
18,Institut des Métiers de Sport - IMS | Institute of Sport Professions,65,WARM,"Campus Universitaire, Kénitra, Maroc",,https://ims.uit.ac.ma/,4.5,19,,https://maps.google.com/?cid=15467605203903772765,"establishment, point_of_interest, university",kénitra,"education, sport"
19,Gymnase Hatim,63,COLD,"Maamoura, Kénitra, Maroc",05 30 17 38 22,https://www.facebook.com/gymnase.hatim,4.8,16,,https://maps.google.com/?cid=2004279326623155579,"establishment, health, point_of_interest",kénitra,"education, sport"
20,Sporting Club,62,COLD,"41 Rue Sebou, Kénitra, Maroc",05 37 37 99 15,https://www.clubs.ma/kenitra/sporting-club,4.5,10,,https://maps.google.com/?cid=996925054283715045,"establishment, gym, health, point_of_interest",kénitra,"education, sport"
