rank,name,score,temperature,address,phone,website,rating,reviews,price_level,google_maps_url,types,city,category
1,La Fabrique,98,HOT,"Le Vallon, Kénitra, Maroc",06 69 18 21 81,,4.7,505,,https://maps.google.com/?cid=14684951787857075237,"establishment, food, point_of_interest, restaurant",kénitra,"restaurant, transport"
2,Villa Port Lyautey,97,HOT,"476 Av. Mohamed V, Kénitra 14000, Maroc",06 28 08 44 79,,4,377,,https://maps.google.com/?cid=2684349900379163845,"cafe, establishment, food, point_of_interest, restaurant, store",kénitra,"restaurant, transport"
3,Le Continental Mehdia,96,HOT,"1er, Residence la Perle de Mehdia, Entrée Corniche, Rte de Mehdia, Kénitra 14110, Maroc",06 66 51 07 08,,4.7,5138,,https://maps.google.com/?cid=14668302441214732645,"establishment, food, point_of_interest, restaurant",kénitra,"restaurant, transport"
4,Natsakhar lik livraison à domicile,95,HOT,"Lot 289 Bloc K Ouled Oujih Bureau Rue N°1, Kenitra 14000, Maroc",06 08 93 19 20,,4.5,121,,https://maps.google.com/?cid=4784463249511655520,"establishment, food, meal_delivery, point_of_interest",kénitra,"restaurant, transport"
5,Mille Délices,93,HOT,"Atlantic centre, Av. Mohamed V, Kénitra 14010, Maroc",05 37 36 71 95,,4,156,,https://maps.google.com/?cid=5546753250723448702,"bar, establishment, food, point_of_interest, restaurant",kénitra,"restaurant, transport"
6,Resto Santé,91,HOT,"352 Avenue E, Kénitra, Maroc",05 37 32 23 96,,4.3,77,,https://maps.google.com/?cid=18409902925396462705,"establishment, food, point_of_interest, restaurant",kénitra,"restaurant, transport"
7,Snack Et Restaurant Tanjawi,87,HOT,"7C67+69V, Rue Salah Eddine, Kénitra, Maroc",06 60 12 11 09,,3.6,94,,https://maps.google.com/?cid=11586940308867540921,"establishment, food, point_of_interest, restaurant",kénitra,"restaurant, transport"
8,Quick Kénitra,86,HOT,"553 Av. Mohamed V, Kénitra 14000, Maroc",05 37 39 50 51,https://www.quick.ma/,4.1,165,,https://maps.google.com/?cid=8681744044566406154,"establishment, food, point_of_interest, restaurant",kénitra,"restaurant, transport"
9,Tendy's,85,HOT,"Ave des FAR, Kenitra 14000, Maroc",06 64 97 08 02,http://www.tendys.ma/,4.4,264,,https://maps.google.com/?cid=1776020283641409020,"establishment, food, point_of_interest, restaurant",kénitra,"restaurant, transport"
10,B&B Park,85,HOT,"Av. Hassan II, Kénitra, Maroc",05 37 37 06 24,https://bandbpark.ma/,4.2,1428,2,https://maps.google.com/?cid=7046529347143226412,"establishment, food, point_of_interest, restaurant",kénitra,"restaurant, transport"
11,Merzouga restaurant,84,HOT,"1 ére, Rte de Mehdia, Kenitra, Maroc",05 37 38 89 71,http://www.merzougarestaurant.com/,4,2630,2,https://maps.google.com/?cid=16215019738260312875,"establishment, food, point_of_interest, restaurant",kénitra,"restaurant, transport"
