rank,name,score,temperature,address,phone,website,rating,reviews,price_level,google_maps_url,types,city,category
1,Mr. Kool,96,HOT,"1600, Secteur 12 Av. du 20 Août, Salé 11003, Maroc",05 37 80 26 16,,4.1,356,2,https://maps.google.com/?cid=9867960754792358975,"establishment, food, point_of_interest, restaurant",SALE,restauration
2,Tacos Koko chicken,95,HOT,"Rte de Rabat, Salé, Maroc",06 50 26 11 70,,4.4,84,,https://maps.google.com/?cid=8402526464465765587,"establishment, food, point_of_interest, restaurant",SALE,restauration
3,Snack Fatima,92,HOT,"26J2+G4C, Salé, Maroc",06 71 10 60 75,,4.5,58,,https://maps.google.com/?cid=11019274149527179302,"establishment, food, point_of_interest, restaurant",SALE,restauration
4,Bayt Al Quds,91,HOT,"Marina, Salé, Maroc",05 37 78 25 04,,3.6,322,,https://maps.google.com/?cid=7911946496299689133,"establishment, food, point_of_interest, restaurant",SALE,restauration
5,Ô Saveurs de la Médina,87,HOT,"6 Rue Abdellah Bensaid, Salé, Maroc",06 11 34 35 50,https://osaveurs-medina.com/RESTO/,4.6,323,,https://maps.google.com/?cid=17422190832881423618,"establishment, food, point_of_interest, restaurant",SALE,restauration
6,Ta cabane,83,HOT,"26, RUE AL BAIDAE, LOT LES ORANGERS SALE, TABRIQUET 11010, Maroc",05 30 47 87 46,,4.7,41,,https://maps.google.com/?cid=16400487935099251330,"establishment, food, point_of_interest, restaurant",SALE,restauration
7,RAFA FOOD,79,WARM,"34, Lot. Bouchouk Mag 2, Salé 11016, Maroc",07 01 73 45 46,,4.5,50,,https://maps.google.com/?cid=9394936486266574811,"establishment, food, point_of_interest, restaurant",SALE,restauration
8,Snack ASK food,78,WARM,"Av. 6 November Résidence square sale tabriquet Sale. ( a côté Awani Chouaib 352V+9VM .Av 6, November a côté Awani Chouaib, Salé, Maroc",06 41 50 06 98,,5,12,,https://maps.google.com/?cid=1247866865717882222,"establishment, food, point_of_interest, restaurant",SALE,restauration
9,Ghizelene’s kitchen,76,WARM,"Rue Zanata, Salé 11005, Maroc",06 98 51 45 05,,5,13,,https://maps.google.com/?cid=2101729646845606178,"establishment, food, point_of_interest, restaurant",SALE,restauration
10,The Best Food Sale,75,WARM,"11, Lot Yacout, Immeuble 26 Route Mehdia, Salé 11160, Maroc",06 36 79 20 13,,4.9,27,,https://maps.google.com/?cid=2594539995584298346,"establishment, food, point_of_interest, restaurant",SALE,restauration
