rank,name,score,temperature,address,phone,website,rating,reviews,price_level,google_maps_url,types,city,category
1,Honda Transport Rabat,94,HOT,"N 31, Rue 73 Rue 21, Rabat 10100, Maroc",06 65 09 72 28,,4.8,52,,https://maps.google.com/?cid=8153439147369859768,"establishment, point_of_interest",Rabat,Transport
2,Envoi Express Société de Transport et Déménagement à Rabat,87,HOT,"1er étage Appartement 02, 46 Av. Oqba Ibn Naafi, Rabat 10090, Maroc",06 61 33 49 39,http://www.envoi-express.ma/,4.9,222,,https://maps.google.com/?cid=7481840431896108429,"establishment, local_government_office, moving_company, point_of_interest, storage",Rabat,Transport
3,Marassa Sky Tours-Transport Touristique & personnel -Navette Aéroport - Transport scolaire- location de voiture,86,HOT,"22 avenue d'Egypte Quartier Marassa Rabat Fix : 05 37, 203 233, Rabat 10000, Maroc",06 69 60 22 22,https://marassasky-tours.ma/,4.9,205,,https://maps.google.com/?cid=10022391055419708652,"establishment, point_of_interest, travel_agency",Rabat,Transport
4,Hatoubi Express Rabat,80,HOT,"13 Rue Al Achaari, Rabat, Maroc",06 61 57 02 07,,4.9,33,,https://maps.google.com/?cid=1559601394499307460,"establishment, point_of_interest",Rabat,Transport
5,MOVIKA Transport,78,WARM,"7 Rue Jabal Tazeka, Rabat 10090, Maroc",06 55 51 44 40,,4.9,22,,https://maps.google.com/?cid=16001648687199799517,"establishment, moving_company, point_of_interest, storage",Rabat,Transport
6,Transport de marchandises rabat نقل البضائع رباط,77,WARM,"Rabat, Salé 10000, Maroc",06 59 22 23 80,,5,15,,https://maps.google.com/?cid=1047602130362343404,"establishment, point_of_interest",Rabat,Transport
7,MTT RABAT,75,WARM,"322 Av. Hassan II, Rabat, Maroc",06 62 07 10 51,,5,1,,https://maps.google.com/?cid=10391045733282821554,"establishment, point_of_interest",Rabat,Transport
8,Asfar Rachid g.f.7.m,75,WARM,"N°54 Kissariat Dahir, Av. Hassan II, Rabat 10000, Maroc",06 67 18 32 21,,4.9,14,,https://maps.google.com/?cid=15952621603261711961,"establishment, point_of_interest",Rabat,Transport
9,Comfort luxury travel - transport touristique - transport du personnel - location du voitures - Chauffeur privé,66,WARM,"Centre Commerciale Al Mamoun Avenue Abdelmoumen Rue Al Adarissa, N° B36, Av. Moulay Hassan, Rabat 10020, Maroc",06 61 06 93 11,http://www.cltmaroc.com/,4.9,18,,https://maps.google.com/?cid=7318118186083603199,"car_rental, establishment, local_government_office, point_of_interest, travel_agency",Rabat,Transport
10,SUN DAY - transport touristique - transport du personnel - transport scolaire et location de voiture,63,COLD,"avenue hassan ll imm Dokali apt 6, Rabat 10060, Maroc",05 37 26 28 41,http://www.sun-daytours.com/,4.3,29,,https://maps.google.com/?cid=13217185381419685981,"establishment, point_of_interest",Rabat,Transport
